Name,Target Area,Target Muscle,Exercise Category,Difficulty,Push Pull Stretch Aerobic,"Equipment Type( gym, home , specific )",Location,Url
"Back Squat
",Lower Body,Quadriceps,Strength ,Beginner ,Push,"bodyweight , barbell, kettlebell , dumbell",Gym,https://www.youtube.com/embed/3PRwtVpyslo
Front Squat,Lower Body,Quadriceps,Strength ,Intermediate ,Push,"bodyweight , barbell, kettlebell , dumbell",Gym,https://www.youtube.com/embed/v-mQm_droHg
Pause Squat,Lower Body,Quadriceps,Strength ,Intermediate,Push,"bodyweight , barbell , kettlebell ,dumbell",Gym,https://www.youtube.com/embed/HV711kwdeQw
Zercher Squat,Lower Body,Quadriceps,Strength ,Advanced,Push,"bodyweight , barbell, kettlebell , dumbell",Gym,https://www.youtube.com/embed/eIMAXB7xy58
Split Squats,Lower Body,Quadriceps,Strength ,Advanced,Push,"bodyweight , barbell, kettlebell , dumbell",Gym,https://www.youtube.com/embed/HBYGeyb4sSM
Romanian Deadlift,Lower Body,Hamstrings,Strength ,Intermediate,Push,"bodyweight , barbell, kettlebell , dumbell",Gym,https://www.youtube.com/embed/_oyxCn2iSjU
Goblet Squat,Lower Body,Glutes,Strength ,Beginner ,Push,"bodyweight , barbell, kettlebell , dumbell",Gym,https://www.youtube.com/embed/q4CSeayuKbo
Leg Press,Lower Body,Quadriceps,Strength ,Beginner ,Push,machine,Gym,https://www.youtube.com/embed/GvRgijoJ2xY
Deadlift,Full Body,Lower Back,Strength,Intermediate,Pull,"barbell, kettlebell, dumbell ",Gym,https://www.youtube.com/embed/VL5Ab0T07e4
Cable Pull Through,Full Body,Lower Back,Strength,Beginner ,Pull,machine,Gym,https://www.youtube.com/embed/OkcryKUZTZs
Sumo Deadlifts,Full Body,Lower Back,Strength,Beginner ,Pull,barbell,Gym,https://www.youtube.com/embed/XsrD5y8EIKU
Trap Bar Deadlift,Full Body,Lower Back,Strength,Beginner ,Pull,trap bar,Gym,https://www.youtube.com/embed/WzvsIU9FW60
Kettle Bell Swings,Full Body,Hamstrings,Strength,Intermediate,Pull,kettlebell,Gym,https://www.youtube.com/embed/Buz6gaVzVZs
Barbell Row,Upper Body,Upper Back,Strength ,Intermediate,Pull,barbell,Gym,https://www.youtube.com/embed/kBWAon7ItDw
Pull-ups,Full Body,Upper Back,Strength ,Intermediate,Pull,"bar, machine",Gym,https://www.youtube.com/embed/eGo4IYlbE5g
Chin-ups,Full Body,Upper Back,Strength ,Intermediate,Pull,"bar, machine",Gym,https://www.youtube.com/embed/brhRXlOhsAM
Face Pulls,Upper Body,Shoulders,Strength ,Beginner ,Pull,machine,Gym,https://www.youtube.com/embed/7bLivsAhDFY
T-bar Rows ,Upper Body,Upper Back,Strength ,Intermediate,Pull,barbell,Gym,https://www.youtube.com/embed/5foJiIVhs8Q
Lat Pulldown,Upper Body,Upper Back,Strength ,Intermediate,Pull,machine,Gym,https://www.youtube.com/embed/CAwf7n6Luuc
Bent Over Row,Upper Body,Upper Back,Strength ,Beginner ,Pull,"barbell, kettlebell , dumbell",Gym,https://www.youtube.com/embed/QFq5jdwWwX4
Bench Press ,Upper Body,Chest,Strength ,Beginner ,Push,"barbell , dumbell",Gym,https://www.youtube.com/embed/vcBig73ojpE
Incline Bench Press,Upper Body,Chest,Strength ,Beginner ,Push,"barbell , dumbell",Gym,https://www.youtube.com/embed/SrqOu55lrYU
Overhead Press,Upper Body,Shoulder,Strength ,Beginner ,Push,"barbell , dumbell, kettlebell",Gym,https://www.youtube.com/embed/_RlRDWO2jfg
Push-ups,Upper Body,Chest,Strength ,Beginner ,Push,bodyweight,Both,https://www.youtube.com/embed/IODxDxX7oi4
Dips,Core,Chest,Strength ,Beginner ,Push,"bodweight, machine, dumbell",Both,https://www.youtube.com/embed/2z8JmcrW-As
Ab Wheel Rollouts,Core,Abdominals ,Strength ,Beginner ,Push,ab-wheel,Special,https://www.youtube.com/embed/rqiTPdK1c_I
Leg Raises,Core,Abdominals ,Strength ,Beginner ,Pull,bodweight,Both,https://www.youtube.com/embed/l4kQd9eWclE
Bicep Curl,Upper Body,Bicep,Strength ,Beginner ,Pull,"barbell, kettlebell , dumbell",Gym,https://www.youtube.com/embed/ykJmrZ5v0Oo
Walking,Full Body,Lungs,Aerobic,Beginner ,Aerobic,"machine, none",Both,https://www.youtube.com/embed/-fD2TSL2s7I
